creator,video_order,publish_date,title,content_type,views,days_since_upload,views_per_day,creator_median_vpd,ratio,state,action_group,is_high,next_state,next_is_high
Dcard Video,24,2026-05-08,刻在台灣人骨子裡的習俗：考前不吃牛、收驚喝符水、懷孕不拿尖物、過年不準洗澡？！【傳統習俗大調查】Dcard調查局｜Dcard.Video,雜談,290106,43,6746.6511627906975,4751.202462923729,1.4199881430939982,Normal,Talk/Topic,0,Normal,0.0
Dcard Video,25,2026-05-13,你沒聽過的空服員潛規則？ft.退役空服員Kristen【EP9】Dcard Podcast｜Dcard.Video,雜談,201658,38,5306.789473684211,4751.202462923729,1.1169360840957705,Normal,Talk/Topic,0,Normal,0.0
Dcard Video,26,2026-05-15,超無聊帥潮 VS 超幽默哥布林，男友二選一！女生們的答案是... ？【帥潮是誇獎嗎】Dcard調查局｜Dcard.Video,雜談,314299,36,8730.527777777777,4751.202462923729,1.8375406743675802,Normal,Talk/Topic,0,Normal,0.0
Dcard Video,27,2026-05-20,貼標籤給別人｜會挑朋友嗎｜如何跟小孩熟起來【EP263】Dcard尋奇｜Dcard.Video feat.曾敬驊、范少勳,雜談,182857,31,5898.612903225807,4751.202462923729,1.2414989572126127,Normal,Talk/Topic,0,Hit,1.0
Dcard Video,28,2026-05-22,吃漢亂入石榴- 在地媽媽們的「腰鼓隊」！古早點心：香菜冰餅、綠豆沙冰淇淋！竟然在鄉下雜貨店發現男團小卡！【電車吃漢 EP26】｜Dcard.Video,旅遊,554418,29,19117.862068965518,4751.202462923729,4.023794443228385,Hit,Travel/Experience,1,Hit,1.0
Dcard Video,29,2026-05-25,只有台灣人才懂的各種省錢習慣！【Dcard小尋奇】｜Dcard.Video,雜談,314287,26,12087.961538461539,4751.202462923729,2.5441899461853317,Hit,Talk/Topic,1,Normal,0.0
Dcard Video,30,2026-05-27,Dcard CEO 面試員工其實看這個 ft.Dcard CEO Kytu 【EP10】Dcard Podcast｜Dcard.Video,雜談,194505,24,8104.375,4751.202462923729,1.7057523991543062,Normal,Talk/Topic,0,Hit,1.0
Dcard Video,31,2026-05-29,你知道自己正在內耗嗎？過來人分享跳脫內耗的最佳解是⋯【現代人的內耗】Dcard調查局｜Dcard.Video,雜談,357549,22,16252.227272727272,4751.202462923729,3.4206555918322623,Hit,Talk/Topic,1,Viral,1.0
Dcard Video,32,2026-06-01,全新企劃！出發尋找世界各地台灣人！34歲來南美洲混亂區當老闆？【世界台灣人圖鑑：試播集】｜Dcard.Video（ENG/Español SUB),旅遊,768194,19,40431.26315789474,4751.202462923729,8.509690646400008,Viral,Travel/Experience,1,Hit,1.0
Dcard Video,33,2026-06-03,男生看到正妹會變安靜｜關於2016年｜臨時取消要不要付錢【EP264】Dcard尋奇｜Dcard.Video,雜談,257086,17,15122.70588235294,4751.202462923729,3.182921797242658,Hit,Talk/Topic,1,Hit,1.0
Dcard Video,34,2026-06-05,搭飛機 30h 是什麼感覺？開箱拉美航空飛機餐【長途跋涉到智利】｜Dcard.Video,旅遊,345160,15,23010.666666666668,4751.202462923729,4.843124839707774,Hit,Travel/Experience,1,Normal,0.0
Dcard Video,35,2026-06-10,工作沒成就感，你就會怨恨自己 ft.外商科技主管抹布【EP11】Dcard Podcast｜Dcard.Video,雜談,92360,10,9236.0,4751.202462923729,1.9439289468452745,Normal,Talk/Topic,0,Normal,0.0
Dcard Video,36,2026-06-12,你能找出AI嗎？觀眾來實測！真人 VS  AI編曲，現場反應居然是⋯【我們與AI的距離】編曲對決｜Dcard.Video,音樂,44303,8,5537.875,4751.202462923729,1.1655733560535702,Normal,Lifestyle/Other,0,Low,0.0
Dcard Video,37,2026-06-13,【我們與AI的距離】編曲對決-《晚一點說愛》@louis._.0308 深潛版 @Nasi #李芷婷 Official MV | Dcard Video,音樂,9484,7,1354.857142857143,4751.202462923729,0.28516089420096186,Low,Lifestyle/Other,0,Low,0.0
Dcard Video,38,2026-06-13,【我們與AI的距離】編曲對決-《晚一點說愛》日搖版 @nasi #李芷婷 | Official MV | Dcard Video,音樂,7552,7,1078.857142857143,4751.202462923729,0.22707033667288737,Low,Lifestyle/Other,0,Viral,1.0
Dcard Video,39,2026-06-15,遠赴智利17年台灣夫妻！在這買房只要XX萬！還開著全世界遙遠的「台灣超市」【世界台灣人圖鑑：番外篇】｜Dcard.Video,旅遊,396362,5,79272.4,4751.202462923729,16.6847025818425,Viral,Travel/Experience,1,Viral,1.0
Dcard Video,40,2026-06-17,租屋族好慘｜爸爸很在意我的外表｜收到想被踢的訊息【EP264】Dcard尋奇｜Dcard.Video,雜談,155757,3,51919.0,4751.202462923729,10.927549479348182,Viral,Talk/Topic,1,,
Joeman,1,2026-02-11,從鐵粉到私訊破口大罵！又開箱觀眾私訊！把我當摯友的下場第二集！【Joeman】,雜談,431897,129,3348.0387596899227,6336.066312997347,0.5284096779135659,Low,Talk/Topic,0,Normal,0.0
Joeman,2,2026-02-25,真無線降噪王者！Sony WF-1000XM6開箱！【Joeman】,科技,577265,115,5019.695652173913,6336.066312997347,0.7922416534493765,Normal,Review/Tech,0,Low,0.0
Joeman,3,2026-02-26,S26 Ultra美國首發開箱！黑科技防窺螢幕太酷了！【Joeman】,科技,338209,114,2966.745614035088,6336.066312997347,0.4682314653098439,Low,Review/Tech,0,Normal,0.0
Joeman,4,2026-02-26,我把日本的車子賣了！比想像中便宜！穿越日本花了我多少錢？【Joeman】,雜談,546994,114,4798.19298245614,6336.066312997347,0.7572826333293695,Normal,Talk/Topic,0,Low,0.0
Joeman,5,2026-02-27,我訪問到身價破2兆的男人！傳說中的CZ趙長鵬與幣安執行長！【Joeman】,雜談,274006,113,2424.83185840708,6336.066312997347,0.38270304296420565,Low,Talk/Topic,0,Normal,0.0
Joeman,6,2026-02-28,訂哪個最划算？5大音樂平台費用、音質、曲庫、介面大PK！Spotify、Apple Music、KKBOX、Youtube Music、Tidal【Joeman】,雜談,520661,112,4648.758928571428,6336.066312997347,0.7336979600474353,Normal,Talk/Topic,0,Normal,0.0
Joeman,7,2026-03-03,超豪華！帶員工潛入Google辦公室！意外看到機密實驗室！【Joeman】,科技,494052,109,4532.587155963302,6336.066312997347,0.7153629605589009,Normal,Review/Tech,0,Low,0.0
Joeman,8,2026-03-05,別人漲價我降價！蘋果今年太殺了！Macbook Neo、iPhone 17e、Studio Display XDR、M5 Pro、M5 Max【Joeman】,科技,441943,107,4130.308411214954,6336.066312997347,0.6518726615506435,Low,Review/Tech,0,Low,0.0
