iteration,bellman_residual
0,2.4361111111111113
1,1.977009421702404
2,1.6120146186351505
3,1.319528852184888
4,1.0845044090425162
5,0.8949906411935622
6,0.7414359834877473
7,0.6163673704136627
8,0.5139822146740496
9,0.42977008569943287
10,0.36020780556167864
11,0.30252578076500747
12,0.2545318601012383
13,0.2144789804827596
14,0.18096548321913986
15,0.15285967591774963
16,0.12924239982470986
17,0.10936301362372092
18,0.09260542181848486
19,0.07846166524124598
20,0.0665112398399561
21,0.05640478326889209
22,0.04785111503981376
23,0.040606869990838845
24,0.034468151839835315
25,0.029263771845874587
26,0.02484974029048992
27,0.02110475515236132
28,0.017926489902471587
29,0.015228525816930016
30,0.012937807250370525
31,0.010992523605445115
32,0.009340341229785665
33,0.007936923608699686
34,0.006744690060671132
35,0.005731772469701468
36,0.004871136989253344
37,0.004139843565623025
38,0.003518420884146778
39,0.0029903381902336434
40,0.0025415585696464404
41,0.0021601608357695312
42,0.0018360192791195828
43,0.001560532274787363
44,0.0013263921863639894
45,0.001127390205162726
46,0.0009582507650307548
47,0.0008144910108409675
48,0.0006923015014077549
49,0.0005884449177298023
50,0.0005001700443472146
51,0.0004251387103231252
52,0.0003613637298052197
53,0.0003071561806464729
54,0.0002610806121268183
55,0.00022191698647233693
56,0.0001886283398615518
57,0.00016033330195952544
58,0.00013628274301780152
59,0.00011583992784025554
60,9.846364948629116e-05
61,8.369389493800838e-05
62,7.113966233873725e-05
63,6.046860672093146e-05
64,5.139823959687817e-05
65,4.3688449139267505e-05
66,3.7135142720856607e-05
67,3.156484334176923e-05
68,2.683009680559678e-05
69,2.2805567933659177e-05
70,1.938472246543199e-05
71,1.6477006735016175e-05
72,1.4005450450937929e-05
73,1.1904629106496145e-05
74,1.0118932033620354e-05
75,8.601090293325342e-06
76,7.310925360215492e-06
77,6.21428556257797e-06
78,5.282142014451097e-06
79,4.489820202735473e-06
80,3.816346806573279e-06
81,3.243894523663471e-06
82,2.757310157974757e-06
83,2.3437134988313346e-06
84,1.9921563794156327e-06
85,1.6933328534918246e-06
86,1.4393328768846914e-06
87,1.2234329105353936e-06
88,1.0399179490860888e-06
89,8.839302356733469e-07
90,7.513406892201147e-07
91,6.386395767776776e-07
92,5.428436331555986e-07
93,4.614170823202812e-07
94,3.92204517751793e-07
95,3.333738369803996e-07
96,2.833677594793471e-07
97,2.4086259386990605e-07
98,2.0473320461178446e-07
99,1.7402322427528816e-07
100,1.479197386800024e-07
101,1.2573177698982363e-07
102,1.0687201168479987e-07
103,9.084120833335874e-08
104,7.721502903734745e-08
105,6.563277388238475e-08
106,5.578785788884488e-08
107,4.741968062660362e-08
108,4.03067277332525e-08
109,3.426071870649139e-08
110,2.91216117886961e-08
111,2.4753369132213265e-08
112,2.1040364117652643e-08
113,1.788431092109022e-08
114,1.5201663039476898e-08
115,1.2921414160871336e-08
116,1.0983201903513873e-08
117,9.33572152916895e-09
