state,strategy,deadline_dmax,action,sample_n,p_low,p_normal,p_hit,p_viral,p_next_high,expected_state_score,resource_cost,immediate_reward,constraint_violation,static_objective,status
Low,Travel/Experience,30,Travel/Experience / ≤30 days,25,0.4413793103448276,0.4827586206896552,0.0390804597701149,0.0367816091954023,0.0758620689655172,0.671264367816092,1.5,0.296264367816092,0.8155172413793104,-2.9658045977011493,Relaxed fallback: strict constraints infeasible for this state
Normal,Lifestyle/Other,30,Lifestyle/Other / ≤30 days,14,0.181023720349563,0.6173533083645444,0.1991260923845193,0.0024968789013732,0.2016229712858926,1.023096129837703,0.9,0.7980961298377031,0.4983770287141073,-1.195411985018726,Relaxed fallback: strict constraints infeasible for this state
Hit,Travel/Experience,30,Travel/Experience / ≤30 days,15,0.0070175438596491,0.287719298245614,0.3859649122807017,0.3192982456140351,0.7052631578947368,2.017543859649123,1.5,1.6425438596491229,0.0,1.6425438596491229,Strictly feasible
Viral,Travel/Experience,14,Travel/Experience / ≤14 days,5,0.0,0.0,0.1388888888888889,0.8611111111111112,1.0,2.861111111111111,1.7,2.436111111111112,0.0,2.436111111111112,Strictly feasible
