state,action,strategy,deadline_dmax,sample_n,p_low,p_normal,p_hit,p_viral,p_next_high,expected_state_score,resource_cost
Normal,Talk/Topic / ≤7 days,Talk/Topic,7,24,0.43780096308186195,0.43258426966292135,0.12800963081861957,0.0016051364365971107,0.12961476725521667,0.6934189406099518,1.6
Normal,Talk/Topic / ≤14 days,Talk/Topic,14,25,0.42270437814800466,0.4521503293297172,0.12359550561797752,0.0015497869043006587,0.12514529252227818,0.7039907012785743,1.3
Normal,Talk/Topic / ≤30 days,Talk/Topic,30,25,0.42270437814800466,0.4521503293297172,0.12359550561797752,0.0015497869043006587,0.12514529252227818,0.7039907012785743,1.1
Normal,Travel/Experience / ≤7 days,Travel/Experience,7,27,0.2664008698803914,0.5520115984052193,0.14787966654584994,0.03370786516853933,0.18158753171438927,0.9488945270025372,2.0
Normal,Travel/Experience / ≤14 days,Travel/Experience,14,39,0.238568068983538,0.584008361640972,0.15312255030049646,0.02430101907499347,0.17742356937548992,0.9631565194669454,1.7
Normal,Travel/Experience / ≤30 days,Travel/Experience,30,42,0.24474841231069858,0.5893991206643869,0.1431362970200293,0.0227161700048852,0.16585246702491452,0.9438202247191011,1.5
Hit,Lifestyle/Other / ≤7 days,Lifestyle/Other,7,10,0.009523809523809523,0.46190476190476193,0.23809523809523808,0.29047619047619044,0.5285714285714285,1.8095238095238093,1.4
Hit,Lifestyle/Other / ≤14 days,Lifestyle/Other,14,10,0.009523809523809523,0.46190476190476193,0.23809523809523808,0.29047619047619044,0.5285714285714285,1.8095238095238093,1.1
Hit,Lifestyle/Other / ≤30 days,Lifestyle/Other,30,10,0.009523809523809523,0.46190476190476193,0.23809523809523808,0.29047619047619044,0.5285714285714285,1.8095238095238093,0.9
Hit,Review/Tech / ≤7 days,Review/Tech,7,2,0.18888888888888888,0.24444444444444444,0.38888888888888884,0.17777777777777778,0.5666666666666667,1.5555555555555554,1.7999999999999998
Hit,Review/Tech / ≤14 days,Review/Tech,14,2,0.18888888888888888,0.24444444444444444,0.38888888888888884,0.17777777777777778,0.5666666666666667,1.5555555555555554,1.5
Hit,Review/Tech / ≤30 days,Review/Tech,30,2,0.18888888888888888,0.24444444444444444,0.38888888888888884,0.17777777777777778,0.5666666666666667,1.5555555555555554,1.3
Hit,Talk/Topic / ≤7 days,Talk/Topic,7,3,0.019047619047619046,0.49523809523809526,0.3333333333333333,0.15238095238095237,0.48571428571428565,1.6190476190476188,1.6
Hit,Talk/Topic / ≤14 days,Talk/Topic,14,3,0.019047619047619046,0.49523809523809526,0.3333333333333333,0.15238095238095237,0.48571428571428565,1.6190476190476188,1.3
Hit,Talk/Topic / ≤30 days,Talk/Topic,30,3,0.019047619047619046,0.49523809523809526,0.3333333333333333,0.15238095238095237,0.48571428571428565,1.6190476190476188,1.1
Hit,Travel/Experience / ≤7 days,Travel/Experience,7,9,0.010256410256410256,0.26666666666666666,0.41025641025641024,0.3128205128205128,0.7230769230769231,2.0256410256410255,2.0
Hit,Travel/Experience / ≤14 days,Travel/Experience,14,14,0.007407407407407408,0.3037037037037037,0.4074074074074074,0.28148148148148144,0.6888888888888889,1.9629629629629628,1.7
Hit,Travel/Experience / ≤30 days,Travel/Experience,30,15,0.007017543859649123,0.28771929824561404,0.38596491228070173,0.3192982456140351,0.7052631578947368,2.017543859649123,1.5
Viral,Lifestyle/Other / ≤7 days,Lifestyle/Other,7,2,0.0,0.0,0.20833333333333334,0.7916666666666666,1.0,2.7916666666666665,1.4
Viral,Lifestyle/Other / ≤14 days,Lifestyle/Other,14,2,0.0,0.0,0.20833333333333334,0.7916666666666666,1.0,2.7916666666666665,1.1
Viral,Lifestyle/Other / ≤30 days,Lifestyle/Other,30,2,0.0,0.0,0.20833333333333334,0.7916666666666666,1.0,2.7916666666666665,0.9
Viral,Review/Tech / ≤7 days,Review/Tech,7,3,0.0,0.0,0.32142857142857145,0.6785714285714286,1.0,2.6785714285714284,1.7999999999999998
Viral,Review/Tech / ≤14 days,Review/Tech,14,3,0.0,0.0,0.32142857142857145,0.6785714285714286,1.0,2.6785714285714284,1.5
Viral,Review/Tech / ≤30 days,Review/Tech,30,3,0.0,0.0,0.32142857142857145,0.6785714285714286,1.0,2.6785714285714284,1.3
Viral,Talk/Topic / ≤7 days,Talk/Topic,7,5,0.0,0.0,0.4722222222222222,0.5277777777777778,1.0,2.5277777777777777,1.6
Viral,Talk/Topic / ≤14 days,Talk/Topic,14,5,0.0,0.0,0.4722222222222222,0.5277777777777778,1.0,2.5277777777777777,1.3
Viral,Talk/Topic / ≤30 days,Talk/Topic,30,5,0.0,0.0,0.4722222222222222,0.5277777777777778,1.0,2.5277777777777777,1.1
Viral,Travel/Experience / ≤7 days,Travel/Experience,7,4,0.0,0.0,0.15625,0.84375,1.0,2.84375,2.0
Viral,Travel/Experience / ≤14 days,Travel/Experience,14,5,0.0,0.0,0.1388888888888889,0.8611111111111112,1.0,2.861111111111111,1.7
Viral,Travel/Experience / ≤30 days,Travel/Experience,30,6,0.0,0.0,0.225,0.775,1.0,2.7750000000000004,1.5
